figure_id,strain,display_name,group,target_mic_operational_label,target_length,guidance_method,row_index,predicted_mic_umol,log2_predicted_mic,source_cache_id
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,0,0.2734375,-1.870717049,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,1,47,5.554588795,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,2,364,8.50779438,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,3,21.25,4.409390926,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,4,274,8.098031998,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,5,143,7.159871101,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,6,111,6.794415951,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,7,74,6.209453583,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,8,16.75,4.066089153,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,9,221,7.787902355,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,10,416,8.700439453,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,11,184,7.523561954,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,12,5.625,2.491852999,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,13,250,7.965784073,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,14,392,8.614709854,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,15,122,6.930737495,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,16,16.625,4.055282593,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,17,6.40625,2.679480076,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,18,55.5,5.794415951,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,19,107.5,6.748192787,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,20,105.5,6.721099377,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,21,159,7.3128829,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,22,76,6.247927666,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,23,294,8.199672699,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,24,3.578125,1.839203835,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,25,104,6.70043993,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,26,1,0,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,27,61,5.930737495,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,28,31.375,4.971543789,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,29,24.875,4.636624813,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,30,28.125,4.813781261,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,31,10.75,3.426264763,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,32,89,6.47573328,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,33,12.625,3.65821147,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,34,322,8.330917358,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,35,364,8.50779438,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,36,8.5,3.087462902,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,37,310,8.276124001,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,38,14.6875,3.876517057,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,39,416,8.700439453,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,40,20.625,4.366322041,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,41,13.8125,3.787902594,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,42,27.75,4.794415951,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,43,7.125,2.832890034,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,44,45,5.491853237,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,45,9.4375,3.238404751,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,46,11.25,3.491852999,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,47,5.75,2.523561954,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,48,17,4.087462902,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,49,19.875,4.3128829,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,50,29.25,4.870364666,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,51,146,7.189824581,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,52,18.875,4.238404751,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,53,372,8.539158821,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,54,23.875,4.577428818,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,55,38,5.247927666,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,56,246,7.94251442,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,57,205,7.679480076,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,58,39,5.285402298,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,59,8.5625,3.098031998,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,60,45,5.491853237,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,61,37.75,5.238404751,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,62,79,6.303780556,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,63,122,6.930737495,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,64,316,8.303780556,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,65,90,6.491853237,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,66,198,7.629356861,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,67,19.625,4.294620514,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,68,195,7.607330322,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,69,13,3.700439692,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,70,17.875,4.159871101,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,71,42,5.392317295,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,72,300,8.228818893,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,73,255,7.994353294,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,74,8.9375,3.15987134,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,75,300,8.228818893,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,76,80,6.321928024,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,77,8.0625,3.011227369,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,78,198,7.629356861,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,79,300,8.228818893,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,80,146,7.189824581,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,81,7.25,2.857980967,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,82,18,4.169925213,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,83,478,8.900866508,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,84,52,5.70043993,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,85,23.75,4.56985569,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,86,87,6.442943573,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,87,9.5625,3.257387877,baa3170_guided_scoring_cache
ApexOracle_main_Fig3a,BAA-3170,E. coli AR-0349,Guided,1,368,noise,88,60.25,5.912889481,baa3170_guided_scoring_cache
