fragment_index,attention_weight,selected,contig_index,start,end
0,0.0,False,0,0,11000
1,0.0,False,0,10000,21000
2,0.0,False,0,20000,31000
3,0.0,False,0,30000,41000
4,0.0,False,0,40000,51000
5,0.0,False,0,50000,61000
6,9.80908925027372e-45,False,0,60000,71000
7,1.195223002282502e-25,False,0,70000,81000
8,8.264251300093026e-38,False,0,80000,91000
9,0.0,False,0,90000,101000
10,9.80908925027372e-45,False,0,100000,111000
11,4.009527046451394e-29,False,0,110000,121000
12,0.0,False,0,120000,131000
13,0.0,False,0,130000,141000
14,1.513650371298988e-39,False,0,140000,151000
15,0.0,False,0,150000,161000
16,0.0,False,0,160000,171000
17,0.0,False,0,170000,181000
18,0.0,False,0,180000,191000
19,0.0,False,0,190000,201000
20,0.0,False,0,200000,211000
21,0.0,False,0,210000,221000
22,0.0,False,0,220000,231000
23,0.0,False,0,230000,241000
24,0.0,False,0,240000,251000
25,0.0,False,0,250000,261000
26,0.0,False,0,260000,271000
27,0.0,False,0,270000,281000
28,0.0,False,0,280000,291000
29,0.0,False,0,290000,301000
30,0.0,False,0,300000,311000
31,0.0,False,0,310000,321000
32,0.0,False,0,320000,331000
33,0.0,False,0,330000,341000
34,0.0,False,0,340000,351000
35,0.0,False,0,350000,361000
36,0.0,False,0,360000,371000
37,0.0,False,0,370000,381000
38,0.0,False,0,380000,391000
39,0.0,False,0,390000,401000
40,0.0,False,0,400000,411000
41,0.0,False,0,410000,421000
42,0.0,False,0,420000,431000
43,0.0,False,0,430000,441000
44,0.0,False,0,440000,451000
45,0.0,False,0,450000,461000
46,0.0,False,0,460000,471000
47,0.0,False,0,470000,481000
48,0.0,False,0,480000,491000
49,0.0,False,0,490000,501000
50,0.0,False,0,500000,511000
51,0.0,False,0,510000,521000
52,0.0,False,0,520000,531000
53,0.0,False,0,530000,541000
54,0.0,False,0,540000,551000
55,0.0,False,0,550000,561000
56,0.0,False,0,560000,571000
57,0.0,False,0,570000,581000
58,0.0,False,0,580000,591000
59,0.0,False,0,590000,601000
60,0.0,False,0,600000,611000
61,0.0,False,0,610000,621000
62,0.0,False,0,620000,631000
63,0.0,False,0,630000,641000
64,0.0,False,0,640000,651000
65,0.0,False,0,650000,661000
66,0.0,False,0,660000,671000
67,0.0,False,0,670000,681000
68,0.0,False,0,680000,691000
69,0.0,False,0,690000,701000
70,0.0,False,0,700000,711000
71,0.0,False,0,710000,721000
72,0.0,False,0,720000,731000
73,0.0,False,0,730000,741000
74,0.0,False,0,740000,751000
75,0.0,False,0,750000,761000
76,0.0,False,0,760000,771000
77,0.0,False,0,770000,781000
78,0.0,False,0,780000,791000
79,0.0,False,0,790000,801000
80,0.0,False,0,800000,811000
81,0.0,False,0,810000,821000
